Year,Month,Sales
2018,1,38217.41
2018,1,25624.88
2018,1,31569.43
2018,1,8234.56
2018,2,59280.51
2018,2,5142.15
2018,2,109432.27
2018,3,55245.02
2018,3,68462.15
2018,3,7600.12
2018,3,16384.76
2018,4,24777.41
2018,4,17251.08
2018,4,27257.79
2018,4,56730.1
2018,5,34992.4
2018,5,45078.76
2018,5,82140.8
2018,5,38662.21
2018,6,12133.25
2018,6,17448.08
2018,6,68880.71
2018,6,114456.85
2018,7,18971.96
2018,7,34311.35
2018,8,52481.84
2018,8,63088.16
2018,8,5774.48
2018,8,38098.24
2018,9,11432.34
2018,9,63730.78
2018,10,6864.05
2018,10,27398.82
2018,10,15146.32
2018,10,45738.39
2018,10,1474.66
2018,11,58871.11
2018,11,1711.26
2018,11,47191.76
2018,11,48874.28
2018,12,32376.29
2018,12,34100.03
2018,12,111156.73
2019,1,50408.25
2019,1,42902.84
2019,1,85880.76
2019,1,41706.52
2019,2,54536.87
2019,2,5759.42
2019,2,46802.27
2019,2,31302.5
2019,2,12334.82
2019,2,52505.36
2019,2,46956.93
2019,2,52269.17
2019,3,7287.24
2019,3,16363.1
2019,3,51045.5
2019,3,25268.43
2019,4,24219.59
2019,4,36973.31
2019,4,5416.9
2019,4,3127.88
2019,4,105074.98
2019,4,29343.35
2019,5,24804.34
2019,5,72335.98
2019,5,106240.69
2019,6,56421.65
2019,6,34453.85
2019,6,3220.88
2019,7,45357.66
2019,7,23252.18
2019,7,7673.38
2019,7,29884.13
2019,8,14380.92
2019,8,4749.45
2019,8,93717.43
2019,9,31329.56
2019,9,21986.27
2019,9,38039
2019,9,20146.32
2019,9,32623.93
2019,10,16118.48
2019,10,21782.7
2019,10,20037.24
2019,10,24078.61
2019,10,93587.56
2019,11,48922.77
2019,11,48472.24
2019,11,59074.9
2019,12,50490.64
2019,12,38784.47
2019,12,17813.4
2019,12,41696.69
2020,1,53815.72
2020,1,37526.84
2020,1,33692.97
2020,2,21730.03
2020,2,4175.6
2020,3,59617.4
2020,3,69164.38
2020,3,46519
2020,3,52287.74
2020,4,61133.28
2020,5,13529.57
2020,5,31648.47
2020,6,53690.93
2020,6,48316.89
2020,7,11021.3
2020,7,14066.8
2020,8,3987.2
2020,8,40802.81
2020,9,26422.82
2020,9,35160.25
2020,9,14378.09
2020,10,16628.16
2020,10,51775.47
2020,10,8775.16
2020,10,41509.94
2020,12,44273.36
#VALUE!,#VALUE!,0
2019,4,56455.66
2020,5,31821.9
2018,8,1637.2
2019,10,54251.66
2018,11,40061.66
2020,4,35680.35
2019,6,16128.1
2019,10,85272.92
2018,11,131236
2019,1,51172.65
2019,3,37266.49
2020,3,22353.86
2020,4,26012.87
2019,6,71717.47
2019,9,34993.92
2019,10,66642.72
2019,11,53152.28
2019,12,30214.42
2019,1,65165.17
2020,2,38360.4
2018,4,43657.47
2018,6,27628.3
2018,7,28397.26
2019,7,6693.28
2019,9,18971.96
2019,10,103815.53
2019,11,15928.75
2018,2,56181.32
2020,2,55741.02
2020,3,20321.53
2020,5,59475.1
2019,6,24564.53
2019,8,56078.26
2018,10,40321.61
2019,11,97958.38
2019,12,37905.15
2019,2,18800.09
2018,3,51017.92
2019,5,27987.07
2018,11,38993.82
2020,1,15702.09
2019,2,61617.01
2019,3,15330.7
2019,7,41297.14
2019,8,44781.35
2018,9,44219.36
2018,11,10986.56
2019,11,34655.78
2020,1,61326.95
2019,2,49637.57
2019,3,26906.68
2019,4,1698.78
2018,5,16560.3
2019,7,68270.84
2019,8,96139.5
2018,10,25284.75
2018,11,95344.63
2019,11,56812.67
2019,2,20178.13
2018,4,4219.2
2018,5,43585.8
2019,7,62871.28
2019,8,34145.47
2018,9,37501.58
2018,10,40412.28
2019,10,63075.08
2018,11,37878.55
2019,11,27733.04
2019,1,8477.22
2019,2,50432.55
2020,2,41249.74
2020,4,58437.04
2018,10,77809.37
2019,10,96850.65
2019,11,13463.48
2020,1,36124.27
2020,3,32194.79
2020,4,2587.58
2019,7,56002.9
2018,10,48710.92
2019,11,55888.65
2018,2,25783.76
2018,3,9749
2019,6,50010.65
2018,7,42031.83
2019,11,137644.72
2018,8,55776.12
2018,9,10640.29
2018,11,80218.06
2019,11,22448.54
2019,1,24995.47
2020,1,38191.39
2019,2,25872.22
2018,3,12398.56
2019,4,7129
2019,5,27931.21
2018,11,86508.07
2018,6,22167.74
2019,8,48828.72
2019,9,5307.98
2018,11,22841.96
2020,2,5098.48
2020,3,15139.12
2018,4,38629.14
2018,5,61073.21
2019,6,44130.52
2019,8,2173.6
2018,9,47727.82
2018,10,62305.47
2018,1,54702
2019,1,37850.08
2019,3,8722.12
2018,4,50397.66
2019,4,28327.64
2020,5,51233.18
2019,10,20719.91
2019,11,61892.52
2020,3,52029.07
2020,5,14578.75
2019,6,19548.35
2019,8,67281.01
2019,9,42744.06
2018,1,44621.96
2020,1,49055.4
2020,5,78918.03
